TransactionID,UserID,Items
1,403,"Monitor,Graphics Card"
2,145,"Graphics Card,RAM Stick,SSD,VR Headset"
3,138,"Printer,Power Bank,Webcam,SSD,Cooling Pad"
4,205,"WiFi Router,USB Cable,Power Bank,RAM Stick"
5,20,"RAM Stick,Smart Bulb,Bluetooth Speaker"
6,292,"Laptop Stand,Mechanical Keyboard,VR Headset,Laptop"
7,53,"Charger,Microphone,Mechanical Keyboard"
8,392,"Mechanical Keyboard,Smart Bulb,Printer,Scanner,Smartwatch"
9,287,"Laptop,Bluetooth Speaker,USB Hub"
10,162,"HDMI Cable,RAM Stick,Drone"
11,145,"Printer,Webcam,SSD,Laptop,Smartwatch"
12,65,"Power Strip,Laptop,External Hard Drive,Smartwatch"
13,153,"WiFi Router,Cooling Pad,Smart Bulb,Bluetooth Speaker"
14,7,"Printer,Drone,Headphones,Smart Bulb"
15,359,"USB Hub,Monitor,Tripod"
16,148,"External Hard Drive,Monitor,Power Strip,Tablet,Mechanical Keyboard"
17,45,"Printer,Graphics Card,Bluetooth Speaker,Tablet,Power Strip"
18,364,"Charger,RAM Stick"
19,32,"Printer,External Hard Drive,Monitor"
20,196,"Monitor,Scanner,Cooling Pad,VR Headset,Tripod"
21,53,"VR Headset,Printer,Mechanical Keyboard"
22,275,"Mechanical Keyboard,WiFi Router,External Hard Drive"
23,321,"WiFi Router,Mechanical Keyboard,USB Cable,Laptop Stand,Microphone"
24,340,"Tablet,Bluetooth Speaker,Scanner,External Hard Drive"
25,360,"USB Cable,Smartphone,Drone,Smart Bulb,Power Strip"
26,156,"Mechanical Keyboard,WiFi Router,Microphone"
27,453,"Laptop,Cooling Pad,Laptop Stand,Webcam"
28,180,"Drone,Monitor,Tripod"
29,470,"USB Cable,Charger,Laptop"
30,67,"Tablet,Cooling Pad,Bluetooth Speaker"
31,492,"WiFi Router,Power Strip,Charger,Scanner"
32,476,"Mechanical Keyboard,Printer"
33,205,"WiFi Router,USB Hub"
34,264,"Smart Bulb,Graphics Card,Wireless Mouse"
35,144,"Smart Bulb,USB Cable,Scanner,Laptop"
36,158,"HDMI Cable,Headphones"
37,150,"Wireless Mouse,USB Hub,Scanner,Microphone,Bluetooth Speaker"
38,371,"Smartphone,Bluetooth Speaker,VR Headset,Laptop Stand"
39,116,"Microphone,VR Headset"
40,82,"Drone,Charger"
41,375,"Tablet,Headphones,Graphics Card"
42,331,"Monitor,USB Cable,Cooling Pad,SSD"
43,391,"Monitor,Smartwatch,HDMI Cable"
44,407,"Scanner,Drone,Graphics Card,Printer"
