TransactionID,UserID,Items
1,120,"Chocolate,Bread"
2,107,"Oil,Coffee,Tea,Milk,Bread"
3,114,"Rice,Soap,Oil,Sugar,Tea"
4,112,"Cheese,Milk,Tea,Toothpaste,Bread"
5,109,"Juice,Oil,Sugar,Bread"
6,100,"Chocolate,Soap,Rice,Salt"
7,120,"Rice,Soap,Chips,Milk,Cheese"
8,101,"Cheese,Bread,Toothpaste"
9,106,"Chocolate,Bread,Butter"
10,118,"Sugar,Coffee,Soap,Biscuits,Detergent"
11,103,"Cheese,Oil,Eggs,Juice,Toothpaste"
12,111,"Coffee,Bread,Toothpaste"
13,104,"Detergent,Eggs,Juice,Rice,Dal"
14,103,"Eggs,Shampoo,Salt"
15,100,"Chocolate,Toothpaste"
16,117,"Milk,Soap,Shampoo,Chips,Coffee"
17,108,"Toothpaste,Rice,Salt"
18,101,"Rice,Bread"
19,118,"Dal,Milk,Rice,Detergent"
20,111,"Oil,Dal,Cheese,Milk"
21,107,"Rice,Bread,Coffee,Chips,Cheese"
22,120,"Butter,Salt,Chips,Milk"
23,116,"Eggs,Soap,Cheese"
24,101,"Salt,Cheese"
25,111,"Dal,Toothpaste"
26,117,"Biscuits,Shampoo,Salt"
27,113,"Coffee,Tea,Cheese,Butter"
28,111,"Juice,Coffee"
29,115,"Sugar,Eggs,Chips,Dal"
30,100,"Coffee,Dal,Biscuits,Chips"
31,111,"Salt,Bread,Biscuits"
32,119,"Oil,Eggs,Rice"
33,115,"Bread,Coffee,Toothpaste,Oil"
34,103,"Rice,Chocolate,Biscuits,Butter"
35,112,"Tea,Juice,Butter,Dal"
36,105,"Salt,Cheese,Coffee,Chips"
37,116,"Soap,Bread,Sugar"
38,103,"Tea,Milk,Salt,Dal,Juice"
39,120,"Salt,Tea"
40,103,"Cheese,Sugar,Tea,Chocolate,Salt"
41,102,"Soap,Rice,Milk,Chocolate"
42,108,"Toothpaste,Coffee,Bread,Dal,Tea"
43,120,"Soap,Biscuits,Milk"
44,107,"Eggs,Coffee,Shampoo,Sugar,Chocolate"
45,109,"Cheese,Juice,Eggs"
46,100,"Soap,Biscuits"
47,101,"Sugar,Bread"
48,115,"Sugar,Bread,Eggs,Coffee"
49,104,"Coffee,Eggs,Oil"
50,109,"Oil,Shampoo,Butter,Salt"
51,112,"Oil,Rice"
52,108,"Toothpaste,Sugar,Bread,Chocolate"
53,118,"Coffee,Detergent"
54,101,"Dal,Oil"
55,102,"Detergent,Cheese,Juice,Biscuits,Chips"
56,115,"Detergent,Biscuits"
57,119,"Bread,Dal"
58,116,"Chips,Biscuits,Bread,Rice,Eggs"
59,116,"Butter,Milk,Bread,Toothpaste,Rice"
60,111,"Milk,Eggs"
61,112,"Juice,Sugar"
62,112,"Toothpaste,Juice"
63,100,"Rice,Eggs,Chocolate,Toothpaste"
64,100,"Juice,Cheese"
65,102,"Cheese,Toothpaste,Chips,Oil,Shampoo"
66,118,"Bread,Cheese,Salt,Oil"
67,118,"Biscuits,Tea,Bread,Chips"
68,109,"Chocolate,Juice"
69,120,"Toothpaste,Butter,Shampoo"
70,109,"Chips,Sugar,Biscuits,Coffee,Detergent"
71,100,"Salt,Shampoo,Soap,Toothpaste,Butter"
72,113,"Oil,Salt,Tea,Butter"
73,119,"Milk,Sugar,Butter,Chips,Bread"
74,114,"Butter,Sugar,Oil,Biscuits,Coffee"
75,104,"Coffee,Salt,Sugar,Oil"
76,116,"Oil,Bread,Milk,Cheese"
77,113,"Tea,Dal"
78,109,"Rice,Chips,Tea,Coffee"
79,116,"Chocolate,Oil,Shampoo"
80,104,"Juice,Sugar"
81,118,"Eggs,Detergent,Oil"
82,107,"Soap,Coffee"
83,117,"Soap,Butter,Rice,Eggs,Salt"
84,114,"Eggs,Dal,Tea"
85,104,"Detergent,Milk,Eggs,Chips"
86,120,"Oil,Coffee,Bread,Juice,Dal"
87,104,"Toothpaste,Sugar,Coffee,Biscuits"
88,116,"Oil,Rice,Tea,Butter,Chips"
